Date,Cases
2020-07-16,21
2020-07-17,28
2020-07-18,9
2020-07-19,18
2020-07-20,21
2020-07-21,25
2020-07-22,19
2020-07-23,25
2020-07-24,19
2020-07-25,30
2020-07-26,16
2020-07-27,22
2020-07-28,14
2020-07-29,20
2020-07-30,20
2020-07-31,21
2020-08-01,26
2020-08-02,14
2020-08-03,24
2020-08-04,23
2020-08-05,14
2020-08-06,18
2020-08-07,18
2020-08-08,27
2020-08-09,20
2020-08-10,19
2020-08-11,20
2020-08-12,20
2020-08-13,22
2020-08-14,12
2020-08-15,14
2020-08-16,14
2020-08-17,15
2020-08-18,27
2020-08-19,22
2020-08-20,15
2020-08-21,15
2020-08-22,15
2020-08-23,14
2020-08-24,16
2020-08-25,20
2020-08-26,22
2020-08-27,11
2020-08-28,24
2020-08-29,15
2020-08-30,18
2020-08-31,22
2020-09-01,19
2020-09-02,20
2020-09-03,13
2020-09-04,20
2020-09-05,17
2020-09-06,16
2020-09-07,14
2020-09-08,21
2020-09-09,24
2020-09-10,13
2020-09-11,21
2020-09-12,19
2020-09-13,17
2020-09-14,22
2020-09-15,21
2020-09-16,13
2020-09-17,16
2020-09-18,15
2020-09-19,12
2020-09-20,13
2020-09-21,25
2020-09-22,15
2020-09-23,28
2020-09-24,21
2020-09-25,24
2020-09-26,18
2020-09-27,20
2020-09-28,14
2020-09-29,17
2020-09-30,15
2020-10-01,20
2020-10-02,18
2020-10-03,17
2020-10-04,16
2020-10-05,24
2020-10-06,20
2020-10-07,18
2020-10-08,14
2020-10-09,29
2020-10-10,21
2020-10-11,16
2020-10-12,15
2020-10-13,22
2020-10-14,18
2020-10-15,18
2020-10-16,19
2020-10-17,19
2020-10-18,23
2020-10-19,18
2020-10-20,27
2020-10-21,22
2020-10-22,22
2020-10-23,15
2020-10-24,16
2020-10-25,18
2020-10-26,14
2020-10-27,24
2020-10-28,16
2020-10-29,23
2020-10-30,23
2020-10-31,16
2020-11-01,21
2020-11-02,19
2020-11-03,15
2020-11-04,20
2020-11-05,28
2020-11-06,23
2020-11-07,21
2020-11-08,19
2020-11-09,28
2020-11-10,19
2020-11-11,26
2020-11-12,21
2020-11-13,10
2020-11-14,24
2020-11-15,18
2020-11-16,20
2020-11-17,18
2020-11-18,23
2020-11-19,16
2020-11-20,14
2020-11-21,20
2020-11-22,27
2020-11-23,21
2020-11-24,14
2020-11-25,20
2020-11-26,16
2020-11-27,16
2020-11-28,21
2020-11-29,24
2020-11-30,20
2020-12-01,19
2020-12-02,15
2020-12-03,18
2020-12-04,22
2020-12-05,23
2020-12-06,16
2020-12-07,24
2020-12-08,22
2020-12-09,13
2020-12-10,25
2020-12-11,22
2020-12-12,17
2020-12-13,16
2020-12-14,15
2020-12-15,19
2020-12-16,25
2020-12-17,17
2020-12-18,21
2020-12-19,22
2020-12-20,21
2020-12-21,24
2020-12-22,26
2020-12-23,19
2020-12-24,17
2020-12-25,22
2020-12-26,15
2020-12-27,14
2020-12-28,17
2020-12-29,22
2020-12-30,16
2020-12-31,26
2021-01-01,21
2021-01-02,19
2021-01-03,20
2021-01-04,15
2021-01-05,12
2021-01-06,16
2021-01-07,17
2021-01-08,23
2021-01-09,21
2021-01-10,23
2021-01-11,21
2021-01-12,20
2021-01-13,18
2021-01-14,13
2021-01-15,23
2021-01-16,23
2021-01-17,16
2021-01-18,24
2021-01-19,17
2021-01-20,18
2021-01-21,28
2021-01-22,30
2021-01-23,15
2021-01-24,26
2021-01-25,24
2021-01-26,16
2021-01-27,29
2021-01-28,15
2021-01-29,27
2021-01-30,23
2021-01-31,29
2021-02-01,17
2021-02-02,16
2021-02-03,12
2021-02-04,18
2021-02-05,11
2021-02-06,20
2021-02-07,17
2021-02-08,26
2021-02-09,16
2021-02-10,26
2021-02-11,26
2021-02-12,24
2021-02-13,20
2021-02-14,24
2021-02-15,19
2021-02-16,16
2021-02-17,18
2021-02-18,17
2021-02-19,9
2021-02-20,18
2021-02-21,24
2021-02-22,19
2021-02-23,29
2021-02-24,21
2021-02-25,29
2021-02-26,21
2021-02-27,16
2021-02-28,16
2021-03-01,24
2021-03-02,19
2021-03-03,23
2021-03-04,25
2021-03-05,16
2021-03-06,21
2021-03-07,13
2021-03-08,17
2021-03-09,22
2021-03-10,13
2021-03-11,18
2021-03-12,23
2021-03-13,12
2021-03-14,22
2021-03-15,25
2021-03-16,20
2021-03-17,25
2021-03-18,22
2021-03-19,17
2021-03-20,24
2021-03-21,23
2021-03-22,22
2021-03-23,15
2021-03-24,26
2021-03-25,25
2021-03-26,18
2021-03-27,15
2021-03-28,25
2021-03-29,22
2021-03-30,22
2021-03-31,24
2021-04-01,24
2021-04-02,32
2021-04-03,23
2021-04-04,17
2021-04-05,18
2021-04-06,23
2021-04-07,24
2021-04-08,20
2021-04-09,22
2021-04-10,19
2021-04-11,15
2021-04-12,23
2021-04-13,12
2021-04-14,22
2021-04-15,30
2021-04-16,19
2021-04-17,19
2021-04-18,19
2021-04-19,27
2021-04-20,16
2021-04-21,22
2021-04-22,26
2021-04-23,33
2021-04-24,24
2021-04-25,14
2021-04-26,28
2021-04-27,24
2021-04-28,14
2021-04-29,22
2021-04-30,16
2021-05-01,11
2021-05-02,17
2021-05-03,17
2021-05-04,18
2021-05-05,21
2021-05-06,24
2021-05-07,20
2021-05-08,14
2021-05-09,22
2021-05-10,21
2021-05-11,18
2021-05-12,13
2021-05-13,7
2021-05-14,19
2021-05-15,21
2021-05-16,24
2021-05-17,15
2021-05-18,22
2021-05-19,23
2021-05-20,18
2021-05-21,21
2021-05-22,19
2021-05-23,20
2021-05-24,12
2021-05-25,16
2021-05-26,26
2021-05-27,15
2021-05-28,22
2021-05-29,21
2021-05-30,16
2021-05-31,12
2021-06-01,17
2021-06-02,23
2021-06-03,18
2021-06-04,26
2021-06-05,19
2021-06-06,20
2021-06-07,27
2021-06-08,17
2021-06-09,27
2021-06-10,22
2021-06-11,23
2021-06-12,15
2021-06-13,34
2021-06-14,25
2021-06-15,19
2021-06-16,18
2021-06-17,15
2021-06-18,33
2021-06-19,22
2021-06-20,24
2021-06-21,33
2021-06-22,16
2021-06-23,15
2021-06-24,18
2021-06-25,19
2021-06-26,22
2021-06-27,15
2021-06-28,22
2021-06-29,21
2021-06-30,16
2021-07-01,17
2021-07-02,20
2021-07-03,9
2021-07-04,19
2021-07-05,17
2021-07-06,9
2021-07-07,19
2021-07-08,20
2021-07-09,14
2021-07-10,17
2021-07-11,16
2021-07-12,33
2021-07-13,22
2021-07-14,26
2021-07-15,29
2021-07-16,20
2021-07-17,26
2021-07-18,23
2021-07-19,16
2021-07-20,18
2021-07-21,13
2021-07-22,21
2021-07-23,26
2021-07-24,18
2021-07-25,24
2021-07-26,24
2021-07-27,25
2021-07-28,21
2021-07-29,18
2021-07-30,19
2021-07-31,18
2021-08-01,16
2021-08-02,16
2021-08-03,21
2021-08-04,22
2021-08-05,18
2021-08-06,20
2021-08-07,18
2021-08-08,21
2021-08-09,21
2021-08-10,31
2021-08-11,15
2021-08-12,18
2021-08-13,20
2021-08-14,17
2021-08-15,24
2021-08-16,17
2021-08-17,23
2021-08-18,19
2021-08-19,15
2021-08-20,15
2021-08-21,23
2021-08-22,21
2021-08-23,32
2021-08-24,24
2021-08-25,30
2021-08-26,16
2021-08-27,21
2021-08-28,18
2021-08-29,24
2021-08-30,25
2021-08-31,22
2021-09-01,22
2021-09-02,21
2021-09-03,16
2021-09-04,21
2021-09-05,16
2021-09-06,21
2021-09-07,23
2021-09-08,19
2021-09-09,14
2021-09-10,23
2021-09-11,17
2021-09-12,15
2021-09-13,16
2021-09-14,12
2021-09-15,12
2021-09-16,16
2021-09-17,26
2021-09-18,20
2021-09-19,18
2021-09-20,21
2021-09-21,19
2021-09-22,15
2021-09-23,16
2021-09-24,13
2021-09-25,24
2021-09-26,22
2021-09-27,28
2021-09-28,19
2021-09-29,20
2021-09-30,20
2021-10-01,13
2021-10-02,14
2021-10-03,24
2021-10-04,17
2021-10-05,13
2021-10-06,21
2021-10-07,19
2021-10-08,21
2021-10-09,28
2021-10-10,14
2021-10-11,18
2021-10-12,24
2021-10-13,12
2021-10-14,15
2021-10-15,22
2021-10-16,28
2021-10-17,21
2021-10-18,15
2021-10-19,19
2021-10-20,18
2021-10-21,32
2021-10-22,17
2021-10-23,19
2021-10-24,22
2021-10-25,22
2021-10-26,15
2021-10-27,24
2021-10-28,11
2021-10-29,14
2021-10-30,17
2021-10-31,23
2021-11-01,25
2021-11-02,17
2021-11-03,20
2021-11-04,19
2021-11-05,18
2021-11-06,24
2021-11-07,19
2021-11-08,24
2021-11-09,20
2021-11-10,31
2021-11-11,13
2021-11-12,19
2021-11-13,13
2021-11-14,15
2021-11-15,23
2021-11-16,18
2021-11-17,19
2021-11-18,24
2021-11-19,23
2021-11-20,19
2021-11-21,22
2021-11-22,11
2021-11-23,15
2021-11-24,20
2021-11-25,9
2021-11-26,23
2021-11-27,12
2021-11-28,18
2021-11-29,18
2021-11-30,22
2021-12-01,15
2021-12-02,22
2021-12-03,17
2021-12-04,17
2021-12-05,22
2021-12-06,16
2021-12-07,21
2021-12-08,22
2021-12-09,24
2021-12-10,21
2021-12-11,25
2021-12-12,14
2021-12-13,28
2021-12-14,18
2021-12-15,19
2021-12-16,29
2021-12-17,14
2021-12-18,26
2021-12-19,17
2021-12-20,28
2021-12-21,24
2021-12-22,25
2021-12-23,24
2021-12-24,15
2021-12-25,9
2021-12-26,14
2021-12-27,25
2021-12-28,20
2021-12-29,23
2021-12-30,21
2021-12-31,17
2022-01-01,22
2022-01-02,15
2022-01-03,13
2022-01-04,24
2022-01-05,21
2022-01-06,21
2022-01-07,18
2022-01-08,21
2022-01-09,24
2022-01-10,23
2022-01-11,31
2022-01-12,18
2022-01-13,17
2022-01-14,19
2022-01-15,26
2022-01-16,18
2022-01-17,23
2022-01-18,22
2022-01-19,24
2022-01-20,21
2022-01-21,22
2022-01-22,21
2022-01-23,21
2022-01-24,22
2022-01-25,17
2022-01-26,20
2022-01-27,11
2022-01-28,24
2022-01-29,24
2022-01-30,19
2022-01-31,18
2022-02-01,13
2022-02-02,21
2022-02-03,22
2022-02-04,22
2022-02-05,14
2022-02-06,25
2022-02-07,21
2022-02-08,15
2022-02-09,18
2022-02-10,17
2022-02-11,17
2022-02-12,19
2022-02-13,14
2022-02-14,23
2022-02-15,19
2022-02-16,24
2022-02-17,21
2022-02-18,24
2022-02-19,31
2022-02-20,11
2022-02-21,17
2022-02-22,27
2022-02-23,17
2022-02-24,19
2022-02-25,11
2022-02-26,7
2022-02-27,27
2022-02-28,20
2022-03-01,18
2022-03-02,29
2022-03-03,19
2022-03-04,16
2022-03-05,15
2022-03-06,21
2022-03-07,14
2022-03-08,16
2022-03-09,25
2022-03-10,20
2022-03-11,12
2022-03-12,21
2022-03-13,19
2022-03-14,25
2022-03-15,19
2022-03-16,22
2022-03-17,11
2022-03-18,24
2022-03-19,16
2022-03-20,15
2022-03-21,24
2022-03-22,16
2022-03-23,16
2022-03-24,19
2022-03-25,20
2022-03-26,13
2022-03-27,25
2022-03-28,16
2022-03-29,17
2022-03-30,21
2022-03-31,24
2022-04-01,27
2022-04-02,15
2022-04-03,24
2022-04-04,14
2022-04-05,22
2022-04-06,19
2022-04-07,24
2022-04-08,22
2022-04-09,26
2022-04-10,15
2022-04-11,21
2022-04-12,25
2022-04-13,23
2022-04-14,20
2022-04-15,19
2022-04-16,20
2022-04-17,18
2022-04-18,13
2022-04-19,14
2022-04-20,19
2022-04-21,22
2022-04-22,18
2022-04-23,22
2022-04-24,22
2022-04-25,23
2022-04-26,16
2022-04-27,17
2022-04-28,23
2022-04-29,17
2022-04-30,24
2022-05-01,17
2022-05-02,22
2022-05-03,13
2022-05-04,19
2022-05-05,21
2022-05-06,36
2022-05-07,19
2022-05-08,17
2022-05-09,17
2022-05-10,23
2022-05-11,25
2022-05-12,26
2022-05-13,23
2022-05-14,13
2022-05-15,17
2022-05-16,17
2022-05-17,23
2022-05-18,22
2022-05-19,27
2022-05-20,12
2022-05-21,24
2022-05-22,25
2022-05-23,21
2022-05-24,22
2022-05-25,26
2022-05-26,20
2022-05-27,17
2022-05-28,24
2022-05-29,27
2022-05-30,21
2022-05-31,21
2022-06-01,16
2022-06-02,13
2022-06-03,20
2022-06-04,30
2022-06-05,23
2022-06-06,22
2022-06-07,16
2022-06-08,20
2022-06-09,14
2022-06-10,20
2022-06-11,21
2022-06-12,16
2022-06-13,16
2022-06-14,13
2022-06-15,24
2022-06-16,20
2022-06-17,28
2022-06-18,13
2022-06-19,14
2022-06-20,20
2022-06-21,20
2022-06-22,17
2022-06-23,19
2022-06-24,27
2022-06-25,21
2022-06-26,25
2022-06-27,22
2022-06-28,17
2022-06-29,21
2022-06-30,14
2022-07-01,19
2022-07-02,14
2022-07-03,24
2022-07-04,12
2022-07-05,29
2022-07-06,22
2022-07-07,21
2022-07-08,21
2022-07-09,23
2022-07-10,27
2022-07-11,20
2022-07-12,17
2022-07-13,21
2022-07-14,14
2022-07-15,18
2022-07-16,22
2022-07-17,23
2022-07-18,22
2022-07-19,17
2022-07-20,19
2022-07-21,27
2022-07-22,17
2022-07-23,18
2022-07-24,23
2022-07-25,18
2022-07-26,19
2022-07-27,26
2022-07-28,15
2022-07-29,22
2022-07-30,18
2022-07-31,19
2022-08-01,22
2022-08-02,18
2022-08-03,23
2022-08-04,20
2022-08-05,18
2022-08-06,15
2022-08-07,24
2022-08-08,17
2022-08-09,17
2022-08-10,21
2022-08-11,31
2022-08-12,18
2022-08-13,20
2022-08-14,21
2022-08-15,19
2022-08-16,17
2022-08-17,11
2022-08-18,21
2022-08-19,21
2022-08-20,19
2022-08-21,20
2022-08-22,22
2022-08-23,22
2022-08-24,19
2022-08-25,20
2022-08-26,27
2022-08-27,20
2022-08-28,14
2022-08-29,14
2022-08-30,17
2022-08-31,29
2022-09-01,20
2022-09-02,21
2022-09-03,17
2022-09-04,24
2022-09-05,20
2022-09-06,21
2022-09-07,16
2022-09-08,25
2022-09-09,19
2022-09-10,23
2022-09-11,23
2022-09-12,17
2022-09-13,24
2022-09-14,22
2022-09-15,17
2022-09-16,23
2022-09-17,23
2022-09-18,22
2022-09-19,25
2022-09-20,13
2022-09-21,12
2022-09-22,19
2022-09-23,18
2022-09-24,20
2022-09-25,12
2022-09-26,24
2022-09-27,10
2022-09-28,19
2022-09-29,16
2022-09-30,19
2022-10-01,17
2022-10-02,16
2022-10-03,18
2022-10-04,20
2022-10-05,21
2022-10-06,12
2022-10-07,16
2022-10-08,21
2022-10-09,17
2022-10-10,17
2022-10-11,22
2022-10-12,23
2022-10-13,10
2022-10-14,23
2022-10-15,25
2022-10-16,16
2022-10-17,17
2022-10-18,18
2022-10-19,25
2022-10-20,19
2022-10-21,13
2022-10-22,20
2022-10-23,22
2022-10-24,23
2022-10-25,30
2022-10-26,17
2022-10-27,24
2022-10-28,10
2022-10-29,31
2022-10-30,19
2022-10-31,16
2022-11-01,18
2022-11-02,24
2022-11-03,16
2022-11-04,20
2022-11-05,16
2022-11-06,21
2022-11-07,14
2022-11-08,23
2022-11-09,22
2022-11-10,23
2022-11-11,26
2022-11-12,18
2022-11-13,13
2022-11-14,17
2022-11-15,18
2022-11-16,14
2022-11-17,20
2022-11-18,20
2022-11-19,32
2022-11-20,22
2022-11-21,14
2022-11-22,14
2022-11-23,24
2022-11-24,18
2022-11-25,25
2022-11-26,24
2022-11-27,19
2022-11-28,11
2022-11-29,16
2022-11-30,23
2022-12-01,29
2022-12-02,32
2022-12-03,18
2022-12-04,15
2022-12-05,22
2022-12-06,21
2022-12-07,25
2022-12-08,18
2022-12-09,17
2022-12-10,28
2022-12-11,20
2022-12-12,23
2022-12-13,14
2022-12-14,22
2022-12-15,20
2022-12-16,20
2022-12-17,12
2022-12-18,24
2022-12-19,21
2022-12-20,9
2022-12-21,19
2022-12-22,25
2022-12-23,31
2022-12-24,21
2022-12-25,19
2022-12-26,12
2022-12-27,24
2022-12-28,20
2022-12-29,16
2022-12-30,22
2022-12-31,21
2023-01-01,20
2023-01-02,28
2023-01-03,22
2023-01-04,17
2023-01-05,23
2023-01-06,19
2023-01-07,20
2023-01-08,14
2023-01-09,19
2023-01-10,24
2023-01-11,18
2023-01-12,21
2023-01-13,24
2023-01-14,21
2023-01-15,22
2023-01-16,13
2023-01-17,16
2023-01-18,8
2023-01-19,26
2023-01-20,30
2023-01-21,19
2023-01-22,20
2023-01-23,17
2023-01-24,27
2023-01-25,24
2023-01-26,20
2023-01-27,21
2023-01-28,18
2023-01-29,16
2023-01-30,20
2023-01-31,18
2023-02-01,24
2023-02-02,15
2023-02-03,20
2023-02-04,19
2023-02-05,14
2023-02-06,20
2023-02-07,34
2023-02-08,17
2023-02-09,16
2023-02-10,16
2023-02-11,23
2023-02-12,19
2023-02-13,18
2023-02-14,25
2023-02-15,18
2023-02-16,24
2023-02-17,21
2023-02-18,12
2023-02-19,23
2023-02-20,24
2023-02-21,30
2023-02-22,17
2023-02-23,17
2023-02-24,24
2023-02-25,20
2023-02-26,18
2023-02-27,25
2023-02-28,23
2023-03-01,28
2023-03-02,17
2023-03-03,15
2023-03-04,23
2023-03-05,30
2023-03-06,18
2023-03-07,24
2023-03-08,18
2023-03-09,25
2023-03-10,19
2023-03-11,15
2023-03-12,21
2023-03-13,15
2023-03-14,17
2023-03-15,22
2023-03-16,16
2023-03-17,21
2023-03-18,27
2023-03-19,22
2023-03-20,21
2023-03-21,17
2023-03-22,22
2023-03-23,23
2023-03-24,12
2023-03-25,17
2023-03-26,22
2023-03-27,11
2023-03-28,29
2023-03-29,22
2023-03-30,16
2023-03-31,23
2023-04-01,17
2023-04-02,11
2023-04-03,14
2023-04-04,23
2023-04-05,19
2023-04-06,19
2023-04-07,16
2023-04-08,17
2023-04-09,21
2023-04-10,17
2023-04-11,21
2023-04-12,22
2023-04-13,16
2023-04-14,23
2023-04-15,17
2023-04-16,21
2023-04-17,30
2023-04-18,16
2023-04-19,23
2023-04-20,19
2023-04-21,21
2023-04-22,19
2023-04-23,15
2023-04-24,36
2023-04-25,13
2023-04-26,27
2023-04-27,17
2023-04-28,23
2023-04-29,21
2023-04-30,22
2023-05-01,23
2023-05-02,16
2023-05-03,23
2023-05-04,16
2023-05-05,17
2023-05-06,11
2023-05-07,23
2023-05-08,22
2023-05-09,24
2023-05-10,28
2023-05-11,16
2023-05-12,23
2023-05-13,20
2023-05-14,18
2023-05-15,21
2023-05-16,17
2023-05-17,27
2023-05-18,24
2023-05-19,22
2023-05-20,23
2023-05-21,19
2023-05-22,29
2023-05-23,25
2023-05-24,19
2023-05-25,17
2023-05-26,11
2023-05-27,28
2023-05-28,24
2023-05-29,22
2023-05-30,15
2023-05-31,12
2023-06-01,22
2023-06-02,25
2023-06-03,13
2023-06-04,17
2023-06-05,20
2023-06-06,18
2023-06-07,30
2023-06-08,18
2023-06-09,13
2023-06-10,21
2023-06-11,22
2023-06-12,19
2023-06-13,15
2023-06-14,15
2023-06-15,16
2023-06-16,15
2023-06-17,23
2023-06-18,20
2023-06-19,12
2023-06-20,16
2023-06-21,13
2023-06-22,20
2023-06-23,16
2023-06-24,18
2023-06-25,22
2023-06-26,19
2023-06-27,20
2023-06-28,23
2023-06-29,20
2023-06-30,26
2023-07-01,20
2023-07-02,21
2023-07-03,18
2023-07-04,23
2023-07-05,18
2023-07-06,16
2023-07-07,19
2023-07-08,24
2023-07-09,20
2023-07-10,22
2023-07-11,16
2023-07-12,23
2023-07-13,25
2023-07-14,18
2023-07-15,19
2023-07-16,19
2023-07-17,18
2023-07-18,27
2023-07-19,18
2023-07-20,33
2023-07-21,22
2023-07-22,18
2023-07-23,21
2023-07-24,16
2023-07-25,18
2023-07-26,18
2023-07-27,23
2023-07-28,23
2023-07-29,16
2023-07-30,20
2023-07-31,24
2023-08-01,21
2023-08-02,24
2023-08-03,24
2023-08-04,24
2023-08-05,14
2023-08-06,22
2023-08-07,15
2023-08-08,26
2023-08-09,27
2023-08-10,21
2023-08-11,26
2023-08-12,22
2023-08-13,20
2023-08-14,17
2023-08-15,17
2023-08-16,16
2023-08-17,27
2023-08-18,15
2023-08-19,23
2023-08-20,25
2023-08-21,24
2023-08-22,23
2023-08-23,29
2023-08-24,18
2023-08-25,15
2023-08-26,16
2023-08-27,17
2023-08-28,24
2023-08-29,13
2023-08-30,18
2023-08-31,16
2023-09-01,26
2023-09-02,16
2023-09-03,11
2023-09-04,23
2023-09-05,16
2023-09-06,19
2023-09-07,24
2023-09-08,17
2023-09-09,16
2023-09-10,24
2023-09-11,24
2023-09-12,25
2023-09-13,21
2023-09-14,26
2023-09-15,24
2023-09-16,23
2023-09-17,16
2023-09-18,18
2023-09-19,24
2023-09-20,21
2023-09-21,19
2023-09-22,22
2023-09-23,29
2023-09-24,20
2023-09-25,23
2023-09-26,17
2023-09-27,22
2023-09-28,15
2023-09-29,19
2023-09-30,25
2023-10-01,21
2023-10-02,31
2023-10-03,20
2023-10-04,15
2023-10-05,17
2023-10-06,21
2023-10-07,18
2023-10-08,12
2023-10-09,22
2023-10-10,15
2023-10-11,17
2023-10-12,27
2023-10-13,25
2023-10-14,18
2023-10-15,12
2023-10-16,12
2023-10-17,16
2023-10-18,17
2023-10-19,15
2023-10-20,17
2023-10-21,18
2023-10-22,16
2023-10-23,16
2023-10-24,22
2023-10-25,16
2023-10-26,14
2023-10-27,26
2023-10-28,12
2023-10-29,17
2023-10-30,24
2023-10-31,21
2023-11-01,14
2023-11-02,17
2023-11-03,12
2023-11-04,17
2023-11-05,11
2023-11-06,19
2023-11-07,21
2023-11-08,17
2023-11-09,26
2023-11-10,15
2023-11-11,23
2023-11-12,20
2023-11-13,18
2023-11-14,19
2023-11-15,19
2023-11-16,14
2023-11-17,30
2023-11-18,21
2023-11-19,20
2023-11-20,16
2023-11-21,18
2023-11-22,14
2023-11-23,15
2023-11-24,16
2023-11-25,25
2023-11-26,21
2023-11-27,18
2023-11-28,18
2023-11-29,21
2023-11-30,24
2023-12-01,22
2023-12-02,16
2023-12-03,16
2023-12-04,24
2023-12-05,23
2023-12-06,19
2023-12-07,13
2023-12-08,28
2023-12-09,17
2023-12-10,20
2023-12-11,24
2023-12-12,20
2023-12-13,24
2023-12-14,25
2023-12-15,18
2023-12-16,21
2023-12-17,20
2023-12-18,10
2023-12-19,21
2023-12-20,25
2023-12-21,16
2023-12-22,23
2023-12-23,21
2023-12-24,15
2023-12-25,24
2023-12-26,23
2023-12-27,24
2023-12-28,22
2023-12-29,28
2023-12-30,11
2023-12-31,25
